Aircraft History Prepared 12/30/2022 13:51:40 Local Time

Display:,Date/time from 11/23/2022 - 0600 UTC to 11/24/2022 - 0559 UTC.
,Classification Tower Count
,Classification TRACON Count
,Time in UTC
,Sorted by Date/Time

Filters:,Classification Tower Count:  BPT

Callsign,Date,Time,Category,Type,Msg,Rules,Apt,Alt,Bcn,Scr1,Scr2,ADE,Psn,APO,Twr,Rdr,Area,Airspace,Entry,Exit,Hdg,Spd,RY,WC,TA,X,Y,Fnct,S1,S2,S3,F1,F2,X2,AA,CM
SKW4999,11/23/2022,13:22:44,AC,CRJ7,TRF,IFR,BPT,000,2401,,ROM,D,1D,1,A,E,,t,BPT,RAF,000,158,???,L,41,70.15,-2.80,?,,G,,17,0,11,,90:Initial departure count.
PL3,11/23/2022,14:15:59,GA,C182,APT,VFR,BPT,007,5372,JFA,,E,3T,0,G,,,t,,BPT,112,096,,S,41,65.32,0.49,?,V,I,,13,0,11,,123:(Undefined)
AIRR2,11/23/2022,14:34:24,MI,B06,TRF,VFR,BPT,003,0472,,,D,3T,1,E,,,t,,,003,050,???,S,41,70.06,-1.98,?,V,I,,17,0,11,,123:(Undefined)
AIRR2,11/23/2022,14:38:56,MI,B06,TRF,VFR,BPT,003,0472,,,D,3T,0,E,,,t,,,121,055,???,S,41,69.90,-2.57,?,V,I,,17,0,11,,247:Count removed because aircraft never left closed pattern.
AIRR2,11/23/2022,14:43:11,MI,B06,TRM,VFR,BPT,004,0472,,,A,3T,0,E,,,t,,,229,068,???,S,41,69.31,-1.74,?,V,I,,17,0,11,,247:Count removed because aircraft never left closed pattern.
PL18,11/23/2022,14:53:01,GA,C185,APT,VFR,BPT,006,5355,JFA,,E,3T,0,G,,,t,,BPT,076,100,,S,41,64.51,-1.28,?,V,I,,13,0,11,,123:(Undefined)
NASA904,11/23/2022,14:55:15,GA,T38,CLA,IFR,BPT,002,4256,BPT,I12,A,3T,1,A,E,,t,EFD,BPT,120,179,???,S,41,68.78,-1.99,?,,I,,17,0,11,,101:In arrival capture area.
NASA904,11/23/2022,14:55:15,GA,T38,CLD,IFR,BPT,002,4256,BPT,I12,D,3T,1,A,E,,t,EFD,BPT,120,179,???,S,41,68.78,-1.99,?,,I,,17,0,11,,20:Practice approach departure counted.
AIRR2,11/23/2022,14:57:16,MI,B06,TRF,VFR,BPT,003,0472,,,D,3T,0,E,,,t,,,033,047,???,S,41,70.01,-1.93,?,V,I,,17,0,11,,247:Count removed because aircraft never left closed pattern.
NASA904,11/23/2022,15:05:32,GA,T38,CST,IFR,BPT,002,4256,BPT,S34,A,3T,1,A,E,,t,EFD,POP,127,184,???,S,41,68.58,-1.88,?,,I,,17,0,11,,109:Coasted in airport capture area
