Aircraft History Prepared 12/30/2022 14:07:31 Local Time

Display:,Date/time from 11/23/2022 - 0600 UTC to 11/24/2022 - 0559 UTC.
,Classification Tower Count
,Classification TRACON Count
,Time in UTC
,Sorted by Callsign

Filters:,Classification Tower Count:  BPT

Callsign,Date,Time,Category,Type,Msg,Rules,Apt,Alt,Bcn,Scr1,Scr2,ADE,Psn,APO,Twr,Rdr,Area,Airspace,Entry,Exit,Hdg,Spd,RY,WC,TA,X,Y,Fnct,S1,S2,S3,F1,F2,X2,AA,CM
FFL815,11/23/2022,22:04:31,AT,FA50,TRF,VFR,BPT,004,5367,IAH,,D,1J,1,C,K,,t,,,123,140,???,S,41,69.92,-2.66,?,V,V,,17,0,11,,90:Initial departure count.
FFL815,11/24/2022,00:11:21,AT,FA50,CST,VFR,BPT,001,4552,BPT,,A,3T,1,C,K,,t,IAH,PE3,118,103,???,S,41,69.10,-2.16,?,V,V,,17,0,11,,109:Coasted in airport capture area
FFL815,11/24/2022,00:24:54,AT,FA50,TRF,VFR,BPT,000,4537,CWF,,D,1D,1,C,K,,t,BPT,PE3,000,148,???,S,41,69.91,-2.64,?,V,V,,17,0,11,,90:Initial departure count.
LN512MT,11/23/2022,20:33:47,GA,HELO,TRF,VFR,BPT,001,0451,,,D,3T,1,C,K,,t,,,096,095,???,,41,71.15,-3.27,?,V,V,,17,0,11,N512MT,90:Initial departure count.
LN521MT,11/23/2022,19:59:48,AT,HELO,CLA,VFR,BPT,009,5373,,,A,3T,1,C,,,t,,BPT,139,120,???,,41,68.01,0.55,?,V,V,,17,0,11,,7:(Undefined)
LXJ355,11/23/2022,19:36:22,AT,E55P,CST,IFR,BPT,001,4743,BPT,W12,A,3T,1,A,E,,t,IAH,BPT,120,114,???,,41,69.06,-2.15,?,,,,17,0,11,,109:Coasted in airport capture area
LXJ355,11/23/2022,20:08:06,AT,E55P,TRF,IFR,BPT,000,2577,,ROM,D,1J,1,A,E,,t,BPT,RAF,000,139,???,,41,69.67,-2.51,?,,,,17,0,11,,90:Initial departure count.
N1003L,11/23/2022,15:20:52,GA,M20P,CST,IFR,BPT,001,4762,BPT,I12,A,3T,1,A,E,,t,HOU,HOU,121,081,???,S,41,69.05,-2.16,?,,,,17,0,11,,109:Coasted in airport capture area
N1003L,11/23/2022,15:21:43,GA,M20P,TRF,IFR,BPT,003,4762,BPT,I12,D,3T,1,A,E,,t,HOU,HOU,120,097,???,S,41,70.22,-2.83,?,,,,17,0,11,,20:Practice approach departure counted.
N15894,11/23/2022,20:41:29,GA,P28A,TRF,VFR,BPT,002,2462,HSD,,D,1J,1,C,K,,t,BPT,PN2,123,085,???,S,41,69.67,-2.50,?,V,V,,17,0,11,N19854,90:Initial departure count.
N160SM,11/23/2022,20:28:00,GA,B350,CST,IFR,BPT,001,5214,BPT,W12,A,3T,1,A,E,,t,IAH,BPT,120,123,???,S,41,69.08,-2.15,?,,,,17,0,11,,109:Coasted in airport capture area
N4326C,11/23/2022,22:32:53,GA,C340,CLA,VFR,BPT,010,0445,BPT,I12,A,3T,1,C,K,,t,,BPT,120,105,???,S,41,66.65,-0.74,?,V,V,,17,0,11,,101:In arrival capture area.
N4326C,11/23/2022,22:32:53,GA,C340,CLD,VFR,BPT,010,0445,BPT,I12,D,3T,1,C,K,,t,,BPT,120,105,???,S,41,66.65,-0.74,?,V,V,,17,0,11,,20:Practice approach departure counted.
N499EM,11/23/2022,15:42:21,GA,C550,CST,VFR,BPT,001,5364,BPT,,A,3T,1,C,,,t,,,120,120,???,S,41,69.01,-2.11,?,V,V,,17,0,11,,109:Coasted in airport capture area
N499EM,11/23/2022,16:36:30,GA,C550,TRF,IFR,BPT,004,4527,,ROM,D,1B,1,A,E,,t,BPT,RAF,122,169,???,S,41,69.99,-2.70,?,,,,17,0,11,,90:Initial departure count.
N5384K,11/23/2022,20:25:35,GA,C172,CST,VFR,BPT,001,5365,BPT,,A,3T,1,C,K,,t,,,120,067,???,S,41,69.05,-2.15,?,V,V,,17,0,11,,109:Coasted in airport capture area
N5384K,11/23/2022,20:30:52,GA,C172,TRF,VFR,BPT,003,5365,BPT,,D,3T,1,C,K,,t,,,124,076,???,S,41,69.88,-2.64,?,V,V,,17,0,11,,20:Practice approach departure counted.
N546B,11/23/2022,21:10:38,GA,P28A,TRF,VFR,BPT,003,0445,GLS,,D,1J,1,C,K,,t,,,131,065,???,S,41,69.60,-2.44,?,V,V,,17,0,11,N456B,90:Initial departure count.
N546B,11/23/2022,23:01:25,GA,P28A,CLA,VFR,BPT,017,4536,BPT,,A,3T,1,C,K,,t,PE2,BPT,260,136,???,S,41,72.32,-1.67,?,V,V,,17,0,11,,101:In arrival capture area.
N566RV,11/23/2022,22:50:23,GA,RV6,TRF,VFR,BPT,008,5356,S,,D,3T,1,C,K,,t,,,126,114,???,,41,69.83,-2.65,?,V,V,,17,0,11,,20:Practice approach departure counted.
N566RV,11/23/2022,23:12:10,GA,,CST,VFR,BPT,002,5353,,,A,3T,1,C,K,,t,,,167,075,???,,41,69.26,-2.19,?,V,V,,17,0,11,,109:Coasted in airport capture area
N566RV,11/23/2022,23:41:45,GA,,CST,VFR,BPT,002,5336,,,A,3T,1,C,K,,t,,,119,064,???,,41,69.06,-2.16,?,V,V,,17,0,11,,109:Coasted in airport capture area
